,datetime,instrument,score,exp_name,rid,weight,real_label,error,abs_error
108,2026-05-12,SZ300628,0.03737707808613777,EXP_LinearModel_Alpha158_csi300_custom_step0_s_20260512_14,1e2c643d65184025843cca4965908a90,0.076,,,
109,2026-05-12,SZ300394,-0.035594381392002106,EXP_LinearModel_Alpha158_csi300_custom_step0_s_20260512_14,1e2c643d65184025843cca4965908a90,0.076,,,
110,2026-05-12,SZ300999,-0.08549199998378754,EXP_LinearModel_Alpha158_csi300_custom_step0_s_20260512_14,1e2c643d65184025843cca4965908a90,0.076,,,
111,2026-05-12,SZ301269,-0.0062715113162994385,EXP_LinearModel_Alpha158_csi300_custom_step0_s_20260512_14,1e2c643d65184025843cca4965908a90,0.076,,,
112,2026-05-12,SH600036,-0.07864247262477875,EXP_LinearModel_Alpha158_csi300_custom_step0_s_20260512_14,e4d0b54e445245e082e27e03d4fbe7c8,0.055,,,
113,2026-05-12,SH600031,-0.08442805707454681,EXP_LinearModel_Alpha158_csi300_custom_step0_s_20260512_14,e4d0b54e445245e082e27e03d4fbe7c8,0.055,,,
114,2026-05-12,SH600030,0.1237017884850502,EXP_LinearModel_Alpha158_csi300_custom_step0_s_20260512_14,e4d0b54e445245e082e27e03d4fbe7c8,0.055,,,
115,2026-05-12,SH600029,0.011282118037343025,EXP_LinearModel_Alpha158_csi300_custom_step0_s_20260512_14,e4d0b54e445245e082e27e03d4fbe7c8,0.055,,,
116,2026-05-12,SH600028,-0.034838274121284485,EXP_LinearModel_Alpha158_csi300_custom_step0_s_20260512_14,e4d0b54e445245e082e27e03d4fbe7c8,0.055,,,
117,2026-05-12,SH600027,0.02020115964114666,EXP_LinearModel_Alpha158_csi300_custom_step0_s_20260512_14,e4d0b54e445245e082e27e03d4fbe7c8,0.055,,,
118,2026-05-12,SH600026,0.020695514976978302,EXP_LinearModel_Alpha158_csi300_custom_step0_s_20260512_14,e4d0b54e445245e082e27e03d4fbe7c8,0.055,,,
119,2026-05-12,SH600025,0.03806590288877487,EXP_LinearModel_Alpha158_csi300_custom_step0_s_20260512_14,e4d0b54e445245e082e27e03d4fbe7c8,0.055,,,
120,2026-05-12,SZ301236,0.006235639099031687,EXP_LinearModel_Alpha158_csi300_custom_step0_s_20260512_14,1e2c643d65184025843cca4965908a90,0.076,,,
121,2026-05-12,SH600023,0.050960972905159,EXP_LinearModel_Alpha158_csi300_custom_step0_s_20260512_14,e4d0b54e445245e082e27e03d4fbe7c8,0.055,,,
122,2026-05-12,SH600018,0.03077610582113266,EXP_LinearModel_Alpha158_csi300_custom_step0_s_20260512_14,e4d0b54e445245e082e27e03d4fbe7c8,0.055,,,
123,2026-05-12,SH600016,-0.12569217383861542,EXP_LinearModel_Alpha158_csi300_custom_step0_s_20260512_14,e4d0b54e445245e082e27e03d4fbe7c8,0.055,,,
124,2026-05-12,SH600015,-0.1111239343881607,EXP_LinearModel_Alpha158_csi300_custom_step0_s_20260512_14,e4d0b54e445245e082e27e03d4fbe7c8,0.055,,,
125,2026-05-12,SH600011,0.016018323600292206,EXP_LinearModel_Alpha158_csi300_custom_step0_s_20260512_14,e4d0b54e445245e082e27e03d4fbe7c8,0.055,,,
126,2026-05-12,SH600010,-0.06405795365571976,EXP_LinearModel_Alpha158_csi300_custom_step0_s_20260512_14,e4d0b54e445245e082e27e03d4fbe7c8,0.055,,,
127,2026-05-12,SH600009,-0.027791276574134827,EXP_LinearModel_Alpha158_csi300_custom_step0_s_20260512_14,e4d0b54e445245e082e27e03d4fbe7c8,0.055,,,
128,2026-05-12,SH600000,-0.07804583013057709,EXP_LinearModel_Alpha158_csi300_custom_step0_s_20260512_14,e4d0b54e445245e082e27e03d4fbe7c8,0.055,,,
129,2026-05-12,SZ302132,0.006717354990541935,EXP_LinearModel_Alpha158_csi300_custom_step0_s_20260512_14,1e2c643d65184025843cca4965908a90,0.076,,,
130,2026-05-12,SH600019,0.043647315353155136,EXP_LinearModel_Alpha158_csi300_custom_step0_s_20260512_14,e4d0b54e445245e082e27e03d4fbe7c8,0.055,,,
131,2026-05-12,SZ300347,-0.10133429616689682,EXP_LinearModel_Alpha158_csi300_custom_step0_s_20260512_14,1e2c643d65184025843cca4965908a90,0.076,,,
132,2026-05-12,SZ300316,-0.13377201557159424,EXP_LinearModel_Alpha158_csi300_custom_step0_s_20260512_14,1e2c643d65184025843cca4965908a90,0.076,,,
133,2026-05-12,SZ300308,-0.04489633068442345,EXP_LinearModel_Alpha158_csi300_custom_step0_s_20260512_14,1e2c643d65184025843cca4965908a90,0.076,,,
134,2026-05-12,SZ002463,0.11834031343460083,EXP_LinearModel_Alpha158_csi300_custom_step0_s_20260512_14,1e2c643d65184025843cca4965908a90,0.076,,,
135,2026-05-12,SZ002460,-0.024998655542731285,EXP_LinearModel_Alpha158_csi300_custom_step0_s_20260512_14,1e2c643d65184025843cca4965908a90,0.076,,,
136,2026-05-12,SZ002459,-0.031233707442879677,EXP_LinearModel_Alpha158_csi300_custom_step0_s_20260512_14,1e2c643d65184025843cca4965908a90,0.076,,,
137,2026-05-12,SZ002422,0.03233443945646286,EXP_LinearModel_Alpha158_csi300_custom_step0_s_20260512_14,1e2c643d65184025843cca4965908a90,0.076,,,
138,2026-05-12,SZ002415,-0.004720570985227823,EXP_LinearModel_Alpha158_csi300_custom_step0_s_20260512_14,1e2c643d65184025843cca4965908a90,0.076,,,
139,2026-05-12,SZ002384,-0.05772477015852928,EXP_LinearModel_Alpha158_csi300_custom_step0_s_20260512_14,1e2c643d65184025843cca4965908a90,0.076,,,
140,2026-05-12,SZ002371,-0.05790596827864647,EXP_LinearModel_Alpha158_csi300_custom_step0_s_20260512_14,1e2c643d65184025843cca4965908a90,0.076,,,
141,2026-05-12,SZ002352,0.006373684853315353,EXP_LinearModel_Alpha158_csi300_custom_step0_s_20260512_14,1e2c643d65184025843cca4965908a90,0.076,,,
142,2026-05-12,SZ002466,0.06218062713742256,EXP_LinearModel_Alpha158_csi300_custom_step0_s_20260512_14,1e2c643d65184025843cca4965908a90,0.076,,,
